Date,SVBFG,S&P 500 index,KBW bank index
1/3/2017,100.00,100.00,100.00
1/4/2017,103.99,100.57,101.11
1/5/2017,101.77,100.50,99.69
1/6/2017,103.14,100.85,100.10
1/9/2017,101.28,100.49,99.41
1/10/2017,102.23,100.49,100.07
1/11/2017,103.14,100.78,100.60
1/12/2017,101.39,100.56,99.60
1/13/2017,102.60,100.75,100.46
1/17/2017,97.36,100.45,97.02
1/18/2017,98.08,100.62,97.75
1/19/2017,97.95,100.26,97.05
1/20/2017,98.83,100.60,97.63
1/23/2017,97.60,100.33,97.20
1/24/2017,100.17,100.99,98.69
1/25/2017,102.02,101.80,100.30
1/26/2017,103.22,101.72,100.71
1/27/2017,103.07,101.63,100.18
1/30/2017,101.53,101.02,99.26
1/31/2017,100.06,100.93,98.63
2/1/2017,100.40,100.96,98.93
2/2/2017,99.31,101.02,98.30
2/3/2017,103.45,101.75,100.50
2/6/2017,102.27,101.54,100.09
2/7/2017,102.39,101.56,99.69
2/8/2017,102.16,101.63,98.73
2/9/2017,104.25,102.22,100.26
2/10/2017,103.11,102.58,100.50
2/13/2017,104.90,103.12,101.65
2/14/2017,107.77,103.53,103.52
2/15/2017,107.91,104.05,104.54
2/16/2017,107.14,103.96,104.08
2/17/2017,107.24,104.13,103.86
2/21/2017,108.72,104.76,104.44
2/22/2017,109.31,104.65,104.34
2/23/2017,109.88,104.69,104.41
2/24/2017,109.36,104.85,103.42
2/27/2017,111.43,104.96,104.05
2/28/2017,110.91,104.69,103.82
3/1/2017,114.82,106.12,107.18
3/2/2017,111.61,105.50,104.95
3/3/2017,112.68,105.55,105.44
3/6/2017,112.86,105.20,104.75
3/7/2017,112.20,104.90,104.39
3/8/2017,112.27,104.66,104.44
3/9/2017,112.64,104.74,104.66
3/10/2017,112.43,105.08,104.38
3/13/2017,112.70,105.12,104.27
3/14/2017,112.83,104.77,104.13
3/15/2017,111.42,105.64,103.47
3/16/2017,113.18,105.47,104.00
3/17/2017,114.57,105.33,102.87
3/20/2017,109.58,105.12,101.63
3/21/2017,101.51,103.82,97.65
3/22/2017,102.35,104.01,97.61
3/23/2017,103.52,103.90,97.96
3/24/2017,103.38,103.82,98.02
3/27/2017,103.82,103.71,97.57
3/28/2017,105.75,104.46,99.19
3/29/2017,105.04,104.58,98.64
3/30/2017,109.37,104.88,100.40
3/31/2017,108.12,104.65,99.32
4/3/2017,106.78,104.47,99.08
4/4/2017,106.28,104.53,98.80
4/5/2017,103.46,104.21,97.79
4/6/2017,105.80,104.41,98.57
4/7/2017,105.85,104.33,98.09
4/10/2017,104.47,104.40,97.46
4/11/2017,106.00,104.25,97.40
4/12/2017,104.26,103.86,96.35
4/13/2017,102.44,103.15,94.97
